TestFile,Epoch,Answer,Prediction
1_mp3,620,52,40
1_mp3,620,21,29
1_mp3,620,52,25
1_mp3,620,98,62
1_mp3,620,5,48
1_mp3,620,6,60
1_mp3,620,15,57
1_mp3,620,93,74
1_mp3,620,67,46
1_mp3,620,14,64
1_mp3,630,92,64
1_mp3,630,87,61
1_mp3,630,88,64
1_mp3,630,39,31
1_mp3,630,55,55
1_mp3,630,65,70
1_mp3,630,34,35
1_mp3,630,39,40
1_mp3,630,96,56
1_mp3,630,6,28
1_mp3,640,27,43
1_mp3,640,44,96
1_mp3,640,56,42
1_mp3,640,68,70
1_mp3,640,6,71
1_mp3,640,80,44
1_mp3,640,72,78
1_mp3,640,77,79
1_mp3,640,93,47
1_mp3,640,42,33
1_mp3,650,76,100
1_mp3,650,22,35
1_mp3,650,9,62
1_mp3,650,40,38
1_mp3,650,60,59
1_mp3,650,76,85
1_mp3,650,37,40
1_mp3,650,18,27
1_mp3,650,21,54
1_mp3,650,38,34
1_mp3,660,76,63
1_mp3,660,15,61
1_mp3,660,19,27
1_mp3,660,96,58
1_mp3,660,41,37
1_mp3,660,71,73
1_mp3,660,64,85
1_mp3,660,63,56
1_mp3,660,73,75
1_mp3,660,63,64
1_mp3,670,29,29
1_mp3,670,44,34
1_mp3,670,16,27
1_mp3,670,22,20
1_mp3,670,83,69
1_mp3,670,44,42
1_mp3,670,24,67
1_mp3,670,99,77
1_mp3,670,85,54
1_mp3,670,82,82
1_mp3,680,59,47
1_mp3,680,10,42
1_mp3,680,89,59
1_mp3,680,48,72
1_mp3,680,41,35
1_mp3,680,59,70
1_mp3,680,87,54
1_mp3,680,27,35
1_mp3,680,86,50
1_mp3,680,8,43
1_mp3,690,8,57
1_mp3,690,35,25
1_mp3,690,91,55
1_mp3,690,78,76
1_mp3,690,62,51
1_mp3,690,46,35
1_mp3,690,63,93
1_mp3,690,15,19
1_mp3,690,50,63
1_mp3,690,51,54
1_mp3,700,24,72
1_mp3,700,28,45
1_mp3,700,59,96
1_mp3,700,76,63
1_mp3,700,21,82
1_mp3,700,16,72
1_mp3,700,6,57
1_mp3,700,38,51
