Epoch,Answer,Prediction
coffee_1,720,35,49
coffee_1,720,71,100
coffee_1,730,70,78
coffee_1,730,48,64
coffee_1,730,40,29
coffee_1,730,10,23
coffee_1,730,26,21
coffee_1,730,26,27
coffee_1,730,30,8
coffee_1,730,55,63
coffee_1,730,44,52
coffee_1,730,44,47
coffee_1,740,47,48
coffee_1,740,18,0
coffee_1,740,38,28
coffee_1,740,51,49
coffee_1,740,44,39
coffee_1,740,64,73
coffee_1,740,32,25
coffee_1,740,42,39
coffee_1,740,34,21
coffee_1,740,65,73
coffee_1,750,39,42
coffee_1,750,51,41
coffee_1,750,95,71
coffee_1,750,76,80
coffee_1,750,27,9
coffee_1,750,86,72
coffee_1,750,19,18
coffee_1,750,81,76
coffee_1,750,56,67
coffee_1,750,71,76
coffee_1,760,25,23
coffee_1,760,11,0
coffee_1,760,22,31
coffee_1,760,18,21
coffee_1,760,64,69
coffee_1,760,13,0
coffee_1,760,67,81
coffee_1,760,46,43
coffee_1,760,39,53
coffee_1,760,70,100
coffee_1,770,71,81
coffee_1,770,62,79
coffee_1,770,34,38
coffee_1,770,63,70
coffee_1,770,83,75
coffee_1,770,48,47
coffee_1,770,9,11
coffee_1,770,28,11
coffee_1,770,64,91
coffee_1,770,59,64
coffee_1,780,71,100
coffee_1,780,45,35
coffee_1,780,10,0
coffee_1,780,23,30
coffee_1,780,65,85
coffee_1,780,17,0
coffee_1,780,86,100
coffee_1,780,26,22
coffee_1,780,80,100
coffee_1,780,25,1
coffee_1,790,43,39
coffee_1,790,71,74
coffee_1,790,21,10
coffee_1,790,85,78
coffee_1,790,48,44
coffee_1,790,31,6
coffee_1,790,58,75
coffee_1,790,53,50
coffee_1,790,41,43
coffee_1,790,78,76
coffee_1,800,25,2
coffee_1,800,91,76
coffee_1,800,62,59
coffee_1,800,40,39
coffee_1,800,52,49
coffee_1,800,17,13
coffee_1,800,79,100
coffee_1,800,21,12
coffee_1,800,35,18
coffee_1,800,72,71
coffee_1,810,35,22
coffee_1,810,76,100
coffee_1,810,58,62
coffee_1,810,46,47
coffee_1,810,85,68
coffee_1,810,98,70
coffee_1,810,28,6
coffee_1,810,56,71
coffee_1,810,93,77
coffee_1,810,42,43
coffee_1,820,15,19
coffee_1,820,35,14
coffee_1,820,48,44
coffee_1,820,29,41
coffee_1,820,47,44
coffee_1,820,27,0
coffee_1,820,78,71
coffee_1,820,38,57
coffee_1,820,97,71
coffee_1,820,28,12
coffee_1,830,57,49
coffee_1,830,32,18
coffee_1,830,34,22
coffee_1,830,16,0
coffee_1,830,43,31
coffee_1,830,17,9
coffee_1,830,21,5
coffee_1,830,40,34
coffee_1,830,85,76
coffee_1,830,81,74
coffee_1,840,11,23
coffee_1,840,21,13
coffee_1,840,27,34
coffee_1,840,49,43
coffee_1,840,82,76
coffee_1,840,60,80
coffee_1,840,39,58
coffee_1,840,24,41
coffee_1,840,22,27
coffee_1,840,33,41
coffee_1,850,97,67
coffee_1,850,28,21
coffee_1,850,37,54
coffee_1,850,84,75
coffee_1,850,95,77
coffee_1,850,48,53
coffee_1,850,25,35
coffee_1,850,20,32
coffee_1,850,62,81
coffee_1,850,51,59
coffee_1,860,23,0
coffee_1,860,51,65
coffee_1,860,49,55
coffee_1,860,46,51
coffee_1,860,73,69
coffee_1,860,59,77
coffee_1,860,15,6
coffee_1,860,76,100
coffee_1,860,39,52
coffee_1,860,23,3
coffee_1,870,24,0
coffee_1,870,47,61
coffee_1,870,75,72
coffee_1,870,71,79
coffee_1,870,17,10
coffee_1,870,75,76
coffee_1,870,29,4
coffee_1,870,65,77
coffee_1,870,40,43
coffee_1,870,91,75
coffee_1,880,50,53
coffee_1,880,20,15
coffee_1,880,74,79
coffee_1,880,19,17
coffee_1,880,96,44
coffee_1,880,32,15
coffee_1,880,51,56
coffee_1,880,76,81
coffee_1,880,36,58
coffee_1,880,54,64
coffee_1,890,69,100
coffee_1,890,49,43
coffee_1,890,33,35
coffee_1,890,76,78
coffee_1,890,54,65
coffee_1,890,21,32
coffee_1,890,45,31
coffee_1,890,78,82
coffee_1,890,97,76
coffee_1,890,80,74
coffee_1,900,31,9
coffee_1,900,95,72
coffee_1,900,66,70
coffee_1,900,99,80
coffee_1,900,18,19
coffee_1,900,39,49
coffee_1,900,64,68
coffee_1,900,54,67
coffee_1,900,51,61
coffee_1,900,41,34
coffee_1,910,27,3
coffee_1,910,12,0
coffee_1,910,12,14
coffee_1,910,34,30
coffee_1,910,22,0
coffee_1,910,92,78
coffee_1,910,30,7
coffee_1,910,66,79
coffee_1,910,93,78
coffee_1,910,25,17
coffee_1,920,84,74
coffee_1,920,99,96
coffee_1,920,33,19
coffee_1,920,68,73
coffee_1,920,38,44
coffee_1,920,22,35
coffee_1,920,26,3
coffee_1,920,31,28
coffee_1,920,98,86
coffee_1,920,53,59
coffee_1,930,87,100
coffee_1,930,50,45
coffee_1,930,58,75
coffee_1,930,17,0
coffee_1,930,46,52
coffee_1,930,55,67
coffee_1,930,48,45
coffee_1,930,24,20
coffee_1,930,76,82
coffee_1,930,95,84
coffee_1,940,77,77
coffee_1,940,54,65
coffee_1,940,15,14
coffee_1,940,99,62
coffee_1,940,61,57
coffee_1,940,89,70
coffee_1,940,62,74
coffee_1,940,69,100
coffee_1,940,25,16
coffee_1,940,59,80
coffee_1,950,89,69
coffee_1,950,72,75
coffee_1,950,42,29
coffee_1,950,43,28
coffee_1,950,23,11
coffee_1,950,25,7
coffee_1,950,83,100
coffee_1,950,98,70
coffee_1,950,62,61
coffee_1,950,73,75
coffee_1,960,33,42
coffee_1,960,38,58
coffee_1,960,73,77
coffee_1,960,46,53
coffee_1,960,12,0
coffee_1,960,58,79
coffee_1,960,90,57
coffee_1,960,24,23
coffee_1,960,99,64
coffee_1,960,68,81
coffee_1,970,62,62
coffee_1,970,93,76
coffee_1,970,34,23
coffee_1,970,23,12
coffee_1,970,42,50
coffee_1,970,65,83
coffee_1,970,93,79
coffee_1,970,13,0
coffee_1,970,25,12
coffee_1,970,23,34
coffee_1,980,15,5
coffee_1,980,88,69
coffee_1,980,59,59
coffee_1,980,46,45
coffee_1,980,33,37
coffee_1,980,24,18
coffee_1,980,36,22
coffee_1,980,47,62
coffee_1,980,27,25
coffee_1,980,33,37
coffee_1,990,49,47
coffee_1,990,61,80
coffee_1,990,39,59
coffee_1,990,46,45
coffee_1,990,83,77
coffee_1,990,79,67
coffee_1,990,30,10
coffee_1,990,69,81
coffee_1,990,28,26
coffee_1,990,89,75
coffee_1,1000,73,72
coffee_1,1000,35,23
coffee_1,1000,25,9
coffee_1,1000,43,51
coffee_1,1000,38,42
coffee_1,1000,19,27
coffee_1,1000,8,14
coffee_1,1000,36,43
coffee_1,1000,43,51
coffee_1,1000,29,23
coffee_2,10,30,45
coffee_2,10,58,17
coffee_2,10,42,39
coffee_2,10,27,49
coffee_2,10,77,3
coffee_2,10,92,3
coffee_2,10,70,21
coffee_2,10,78,13
coffee_2,10,52,34
coffee_2,10,77,16
coffee_2,20,12,21
coffee_2,20,56,14
coffee_2,20,20,57
coffee_2,20,25,36
coffee_2,20,51,22
coffee_2,20,11,26
coffee_2,20,23,48
coffee_2,20,51,22
coffee_2,20,53,20
coffee_2,20,76,5
coffee_2,30,87,2
coffee_2,30,10,25
coffee_2,30,52,43
coffee_2,30,29,51
coffee_2,30,89,8
coffee_2,30,90,6
coffee_2,30,10,14
coffee_2,30,10,28
coffee_2,30,37,44
coffee_2,30,49,35
coffee_2,40,55,29
coffee_2,40,45,40
coffee_2,40,89,9
coffee_2,40,22,60
coffee_2,40,22,59
coffee_2,40,52,39
coffee_2,40,20,66
coffee_2,40,21,39
coffee_2,40,19,36
coffee_2,40,69,24
coffee_2,50,68,27
coffee_2,50,44,45
coffee_2,50,21,68
coffee_2,50,36,34
coffee_2,50,76,8
coffee_2,50,42,35
coffee_2,50,87,2
coffee_2,50,9,20
coffee_2,50,14,44
coffee_2,50,13,51
coffee_2,60,26,59
coffee_2,60,52,31
coffee_2,60,36,39
coffee_2,60,76,9
coffee_2,60,55,21
coffee_2,60,66,22
coffee_2,60,61,31
coffee_2,60,90,4
coffee_2,60,50,28
coffee_2,60,20,68
coffee_2,70,48,35
coffee_2,70,25,58
coffee_2,70,21,62
coffee_2,70,87,14
coffee_2,70,71,18
coffee_2,70,79,9
coffee_2,70,53,28
coffee_2,70,27,45
coffee_2,70,72,17
coffee_2,70,97,6
coffee_2,80,69,28
coffee_2,80,51,21
coffee_2,80,65,23
coffee_2,80,88,10
coffee_2,80,61,31
coffee_2,80,26,38
coffee_2,80,73,25
coffee_2,80,14,54
coffee_2,80,41,34
coffee_2,80,69,26
coffee_2,90,15,56
coffee_2,90,43,66
coffee_2,90,49,31
coffee_2,90,82,13
coffee_2,90,10,27
coffee_2,90,20,53
coffee_2,90,85,18
coffee_2,90,88,5
coffee_2,90,12,30
coffee_2,90,18,59
coffee_2,100,41,48
coffee_2,100,17,37
coffee_2,100,26,59
coffee_2,100,21,56
coffee_2,100,63,23
coffee_2,100,38,74
coffee_2,100,61,38
coffee_2,100,64,37
coffee_2,100,26,55
coffee_2,100,9,11
coffee_2,110,78,22
coffee_2,110,89,18
coffee_2,110,33,43
coffee_2,110,20,24
coffee_2,110,55,31
coffee_2,110,92,13
coffee_2,110,30,36
coffee_2,110,89,23
coffee_2,110,87,24
coffee_2,110,53,45
coffee_2,120,13,17
coffee_2,120,58,44
coffee_2,120,32,35
coffee_2,120,98,32
coffee_2,120,18,19
coffee_2,120,66,50
coffee_2,120,60,41
coffee_2,120,37,71
coffee_2,120,42,87
coffee_2,120,46,28
coffee_2,130,50,42
coffee_2,130,53,56
coffee_2,130,85,24
coffee_2,130,13,21
coffee_2,130,33,72
coffee_2,130,96,16
coffee_2,130,97,15
coffee_2,130,75,30
coffee_2,130,47,28
coffee_2,130,37,83
coffee_2,140,11,7
coffee_2,140,91,30
coffee_2,140,78,31
coffee_2,140,84,27
coffee_2,140,23,20
coffee_2,140,89,29
coffee_2,140,37,100
coffee_2,140,92,29
coffee_2,140,55,43
coffee_2,140,86,14
coffee_2,150,29,11
coffee_2,150,69,38
coffee_2,150,71,49
coffee_2,150,68,41
coffee_2,150,22,10
coffee_2,150,26,36
coffee_2,150,52,47
coffee_2,150,34,44
coffee_2,150,72,49
coffee_2,150,96,30
coffee_2,160,23,18
coffee_2,160,89,36
coffee_2,160,51,67
coffee_2,160,45,29
coffee_2,160,18,19
coffee_2,160,47,22
coffee_2,160,87,46
coffee_2,160,81,24
coffee_2,160,90,34
coffee_2,160,40,95
coffee_2,170,54,8
